lat,lon,alt,date,device,os,version
48.8010902405,2.12634253502,124.952735901,2014-03-26 09:46:40,"iPhone4,1",7.1,1.1
48.7978019714,2.12573361397,124.952735901,2014-03-26 09:46:40,"iPhone4,1",7.1,1.1
48.8012390137,2.12610077858,125.150627136,2014-03-26 09:46:40,"iPhone4,1",7.1,1.1
48.801071167,2.12651348114,125.197677612,2014-03-26 09:50:56,"iPhone4,1",7.1,1.1
48.8011512756,2.12617635727,124.671333313,2014-03-26 10:35:44,"iPhone4,1",7.1,1.1
48.801158905,2.12617135048,124.671333313,2014-03-26 10:35:44,"iPhone4,1",7.1,1.1
48.8013496399,2.12608551979,124.531082153,2014-03-26 10:35:44,"iPhone4,1",7.1,1.1
48.8016357422,2.12627696991,132,2014-03-26 10:37:52,"iPhone4,1",7.1,1.1
48.8022155762,2.12637090683,129.610580444,2014-03-26 12:56:32,"iPhone4,1",7.1,1.1
48.8010520935,2.1262216568,124.983421326,2014-03-26 15:55:44,"iPhone4,1",7.1,1.1
48.8010520935,2.12621736526,124.983421326,2014-03-26 16:06:24,"iPhone4,1",7.1,1.1
48.800994873,2.12643647194,124,2014-03-26 16:06:24,"iPhone4,1",7.1,1.1
48.7971496582,2.13115859032,131.765136719,2014-03-26 16:59:44,"iPhone4,1",7.1,1.1
48.7952690125,2.13754057884,132.064163208,2014-03-26 17:10:24,"iPhone4,1",7.1,1.1
48.796459198,2.14563727379,132.903839111,2014-03-26 17:18:56,"iPhone4,1",7.1,1.1
48.8055458069,2.18982458115,113.21270752,2014-03-26 17:23:12,"iPhone4,1",7.1,1.1
48.8159675598,2.24566817284,71.5608062744,2014-03-26 17:29:36,"iPhone4,1",7.1,1.1
48.8407363892,2.32026410103,58.3955345154,2014-03-26 17:33:52,"iPhone4,1",7.1,1.1
48.8335037231,2.31142854691,60,2014-03-26 18:29:20,"iPhone4,1",7.1,1.1
47.3453025818,0.776600778103,60,2014-03-26 19:31:12,"iPhone4,1",7.1,1.1
47.1812400818,0.640774130821,60,2014-03-26 19:37:36,"iPhone4,1",7.1,1.1
47.0569953918,0.58244228363,66.0327148438,2014-03-26 19:41:52,"iPhone4,1",7.1,1.1
47.0569953918,0.58244228363,66.0327148438,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0345878601,0.585704684258,-42,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0336990356,0.586054623127,26,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.032787323,0.586534917355,50,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.01795578,0.597428560257,43,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0169868469,0.59788274765,42,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0160522461,0.598168671131,42,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0139846802,0.598671138287,43,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0129203796,0.598859250546,43,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0118217468,0.598914325237,43,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0107727051,0.598832190037,43,2014-03-26 19:44:00,"iPhone4,1",7.1,1.1
47.0098381042,0.598699450493,43,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0086555481,0.598429977894,42,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0077362061,0.598250150681,41,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.006603241,0.597949743271,41,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0046958923,0.597514927387,40,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0037002563,0.597308933735,39,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0026855469,0.597119390965,38,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
47.0006599426,0.596859037876,38,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9750518799,0.60686403513,25,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9738006592,0.607448101044,25,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9725151062,0.607895791531,24,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9712333679,0.608337938786,23,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9702682495,0.608542084694,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9689750671,0.608802258968,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9680709839,0.608941972256,23,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9668312073,0.6091132164,23,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.965473175,0.609202086926,23,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9645462036,0.609215915203,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9636306763,0.609248161316,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9627037048,0.60922151804,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9617652893,0.609241724014,22,2014-03-26 19:46:08,"iPhone4,1",7.1,1.1
46.9608459473,0.609259665012,23,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9599075317,0.609230935574,24,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9589691162,0.609216570854,23,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9580459595,0.609156906605,24,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9570960999,0.609169304371,23,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9561157227,0.609139382839,23,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
46.9552001953,0.609172224998,23,2014-03-26 19:48:16,"iPhone4,1",7.1,1.1
